                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                   1.37,                 2.5263,                 4.2505,                 1.4575,                0.21465,                0.23529,                0.13966,                0.09233,                0.24096,                0.26471,                0.17542,                0.08652,                 1.1699,                 4.3855,                 9.2021,                 1.5504,                0.08812,                0.00012,                0.00012
                      2,                 1.1321,                 2.0131,                 2.5732,                 1.2348,                0.73763,                0.49629,                0.49254,                0.33328,                      0,                      0,                      0,                      0,                 1.4037,                 142.25,                 2.1715,                 1.5462,               0.075245,             0.00024505,             0.00024505
                      3,                 1.1746,                 1.7285,                 1.7165,                 1.2185,                0.79611,                0.38235,                0.47048,                0.32451,                0.35831,                0.11765,                0.07037,                0.01844,                 1.6284,                 44.171,                 2.5019,                 1.7023,               0.062365,             0.00036495,             0.00036495
                      4,                 1.1631,                  2.086,                 1.6098,                 1.2433,                0.79179,                0.44118,                0.52877,                0.38599,                0.71689,                0.35294,                0.35844,                0.13963,                 1.3151,                 16.141,                 1.7784,                 1.4464,                0.04948,             0.00047971,             0.00047971
                      5,                 1.0867,                 1.7881,                 1.5041,                 1.2766,                0.83846,                0.38235,                0.49057,                0.28278,                0.77396,                0.35294,                0.40354,                0.24394,                 1.3892,                 6.9705,                  1.858,                 1.5326,               0.036589,             0.00058931,             0.00058931
                      6,                 1.1345,                 1.7539,                 1.3375,                 1.2737,                0.63729,                0.55882,                0.64258,                0.40947,                0.63729,                0.55882,                0.60198,                0.36645,                 1.2777,                  3.884,                 1.4949,                 1.4147,               0.023694,             0.00069377,             0.00069377
                      7,                 1.1894,                 2.0263,                 1.3489,                 1.2653,                0.74748,                0.73529,                0.80436,                0.54505,                0.74815,                0.73529,                0.77927,                 0.5582,                 1.1083,                 3.1097,                 2.3537,                 1.4061,               0.010793,             0.00079308,             0.00079308
                      8,                  1.171,                 1.7994,                  1.438,                 1.2826,                 0.7246,                0.88235,                0.82509,                0.53911,                0.76959,                0.79412,                0.77982,                0.51977,                 1.3354,                 3.3967,                 1.3082,                 1.6235,              0.0008614,              0.0008614,              0.0008614
                      9,                 1.1734,                 1.7622,                 1.2932,                  1.259,                0.90377,                0.58824,                0.73052,                 0.5067,                0.90377,                0.58824,                0.70748,                0.48625,                 1.3419,                 2.8754,                 1.3575,                 1.6251,              0.0008416,              0.0008416,              0.0008416
                     10,                 1.0519,                 1.6278,                  1.078,                  1.165,                0.78464,                0.58824,                0.62254,                0.43732,                0.78464,                0.58824,                0.61576,                0.44661,                 1.3321,                 4.9153,                 2.0248,                  1.546,              0.0008218,              0.0008218,              0.0008218
                     11,                 1.1191,                 1.9247,                 1.2086,                  1.181,                0.74136,                0.42187,                0.51884,                0.34511,                0.74136,                0.42187,                0.50277,                0.31759,                 1.3534,                 8.2222,                 1.6676,                 1.4725,               0.000802,               0.000802,               0.000802
                     12,                 1.0473,                 1.6408,                 1.1335,                 1.1543,                 0.7924,                0.67647,                0.73402,                0.48054,                 0.7924,                0.67647,                0.70367,                0.42425,                 1.2157,                 3.7077,                 1.6124,                 1.3713,              0.0007822,              0.0007822,              0.0007822
                     13,                 1.1524,                 1.8807,                 1.2098,                 1.2296,                0.58127,                0.64706,                 0.6568,                0.48485,                0.58127,                0.64706,                0.66897,                0.42437,                 1.2469,                 3.2146,                 2.0386,                   1.44,              0.0007624,              0.0007624,              0.0007624
                     14,                 1.1439,                 1.9306,                 1.1423,                 1.2262,                0.87489,                0.61707,                 0.6864,                0.51477,                0.87489,                0.61707,                0.70548,                0.50996,                 1.1702,                 2.0382,                 2.4343,                 1.3619,              0.0007426,              0.0007426,              0.0007426
                     15,                   1.16,                 1.7436,                 1.1836,                 1.2324,                0.80524,                0.52941,                0.72284,                0.51427,                0.80524,                0.52941,                 0.7379,                0.51835,                  1.087,                 2.0259,                 1.7512,                  1.251,              0.0007228,              0.0007228,              0.0007228
                     16,                 1.0161,                 1.5263,                 1.0036,                 1.1256,                      1,                0.55037,                0.74643,                0.53588,                      1,                0.55037,                0.76384,                  0.523,                 1.0196,                 2.1689,                 1.3268,                 1.2022,               0.000703,               0.000703,               0.000703
                     17,                 1.1157,                 1.5623,                 1.0747,                 1.1802,                0.82204,                0.67938,                0.77362,                0.56245,                0.85422,                0.70588,                0.77572,                0.52515,                0.99905,                 2.1673,                  1.063,                 1.2306,              0.0006832,              0.0006832,              0.0006832
                     18,                 1.1067,                 1.6222,                 1.0873,                 1.2235,                0.72235,                0.73529,                0.77242,                0.58611,                0.80601,                0.64706,                0.76605,                0.52717,                0.94193,                 2.0603,                 1.1562,                  1.208,              0.0006634,              0.0006634,              0.0006634
                     19,                 1.0713,                 1.4656,                0.97789,                 1.2288,                0.75949,                0.85294,                0.84389,                0.65782,                0.75949,                0.85294,                0.85919,                0.64687,                0.95033,                 1.6755,                 1.0611,                 1.1915,              0.0006436,              0.0006436,              0.0006436
                     20,                 0.9689,                 1.3222,                0.84099,                 1.1539,                0.81083,                0.75657,                0.83796,                0.62953,                0.81083,                0.75657,                0.83205,                0.64527,                0.97591,                 1.6402,                0.97655,                 1.1857,              0.0006238,              0.0006238,              0.0006238
                     21,                0.94268,                 1.3608,                0.95303,                 1.1194,                0.89517,                0.75369,                0.84645,                0.63129,                0.89517,                0.75369,                0.83798,                0.64401,                0.97348,                 1.6353,                0.97427,                 1.1939,               0.000604,               0.000604,               0.000604
